"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,327.5,0.891504245853718,2.15644933809773
270,328.125,0.954457918184824,2.30851172059278
270,328.75,1.00837742649455,2.46577882146541
270,329.375,1.05479821557902,2.62652850848513
270,330,1.09499937740559,2.78946615492616
270,330.625,1.13002917909874,2.95361924050879
270,331.25,1.16074043510933,3.11825670928241
270,331.875,1.18782564939536,3.28282819073457
270,332.5,1.21184804192346,3.44691871001256
270,333.125,1.23326739847689,3.61021524024885
270,333.75,1.25246093841918,3.77248206435915
270,334.375,1.26973988517573,3.93354255227266
270,335,1.28536252923297,4.09326557523203
270,335.625,1.29954450814305,4.25155528313804
270,336.25,1.31246690818857,4.40834334207597
270,336.875,1.32428267031828,4.56358298968049
270,337.5,1.33512167731504,4.71724444690753
270,338.125,1.34509481369045,4.86931135116346
270,338.75,1.3542972228399,5.01977796502934
270,339.375,1.36281093434794,5.16864697863251
270,340,1.3707069947968,5.31592776980947
270,340.625,1.37804720524602,5.46163501980688
270,341.25,1.38488554550659,5.60578760697666
270,341.875,1.39126934770803,5.7484077192323
270,342.5,1.3972402681386,5.88952013970924
270,343.125,1.4028350959319,6.0291516703559
270,343.75,1.40808642912858,6.16733066597316
270,344.375,1.41302324239539,6.30408665715937
270,345,1.41767136581077,6.43945004517809
270,345.625,1.42205389030701,6.57345185528767
270,346.25,1.4261915123504,6.7061235378091
270,346.875,1.43010282806042,6.83749680834905
270,347.5,1.433804585076,6.96760352027782
270,348.125,1.43731189896449,7.09647556389266
270,348.75,1.44063843975538,7.22414478775501
270,349.375,1.44379659320207,7.35064293853516
270,350,1.44679760058264,7.47600161637659
270,350.625,1.44965168020588,7.60025224333948
270,351.25,1.452368133262,7.7234260429266
270,351.875,1.45495543622576,7.84555402905529
270,352.5,1.45742132166319,7.96666700313376
270,353.125,1.4597728489987,8.086795558141
270,353.75,1.46201646655439,8.20597008880707
270,354.375,1.46415806596849,8.32422080715307
270,355,1.46620302992838,8.44157776278212
270,355.625,1.46815627400866,8.55807086742112
270,356.25,1.47002228328157,8.67372992329917
270,356.875,1.47180514426219,8.78858465501661
270,357.5,1.47350857266001,8.90266474460871
