"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,298.125,-1.2962700552636,20.07057942878
270,298.75,-1.29685509782791,19.0831708933632
270,299.375,-1.2970116021807,18.1486106034832
270,300,-1.29674597835802,17.2626483386938
270,300.625,-1.29606092917071,16.4214787664322
270,301.25,-1.29495557795643,15.6216858210852
270,301.875,-1.29342551293655,14.8601951866955
270,302.5,-1.291462753323,14.1342335900325
270,303.125,-1.28905563857604,13.4412938321211
270,303.75,-1.28618863882951,12.7791046717961
270,304.375,-1.28284208120807,12.14560482867
270,305,-1.27899178331679,11.5389205000613
270,305.625,-1.27460858135266,10.9573458917111
270,306.25,-1.26965773581476,10.3993263497482
270,306.875,-1.26409819238372,9.86344375500514
270,307.5,-1.25788166884131,9.34840390354315
270,308.125,-1.25095153045082,8.85302565183118
270,308.75,-1.24324140542831,8.37623165386676
270,309.375,-1.23467347822625,7.9170405629324
270,310,-1.22515638030592,7.47456061498301
270,310.625,-1.2145825745531,7.04798455642145
270,311.25,-1.2028250987547,6.63658592925351
270,311.875,-1.18973349338578,6.23971678511428
270,312.5,-1.17512868663851,5.85680697137391
270,313.125,-1.15879654205666,5.4873652241475
270,313.75,-1.14047968832527,5.13098242362861
270,314.375,-1.11986714514947,4.78733752907528
270,315,-1.0965811368111,4.4562069303309
270,315.625,-1.07016036076784,4.13747825044291
270,316.25,-1.04003889460018,3.83117003228219
270,316.875,-1.00551998213559,3.53745925743379
270,317.5,-0.965744364529001,3.25671926462703
270,318.125,-0.919654089980908,2.98957125486603
270,318.75,-0.865955793567783,2.73695286065898
270,319.375,-0.803094030783052,2.50020636277198
270,320,-0.729258163204946,2.28118512140608
270,320.625,-0.64246863782338,2.0823658130723
270,321.25,-0.540819250875552,1.90693006005739
270,321.875,-0.422972489752246,1.75873694124868
270,322.5,-0.28895572041771,1.64205762183972
270,323.125,-0.141090055629731,1.56093841835254
270,323.75,0.0154938030165925,1.51820238537793
270,324.375,0.173462429690442,1.5144247637105
270,325,0.325105959194717,1.54746582492994
270,325.625,0.464397818362918,1.61290875609558
270,326.25,0.588066001792959,1.70513475358415
270,326.875,0.695394354047799,1.81842449005911
270,327.5,0.787355091006543,1.94767376168596
270,328.125,0.865730788425711,2.08867867110851
270,328.75,0.932514537951064,2.23813768665694
270,329.375,0.989591511756033,2.39352571798629
270,330,1.03860932204663,2.55293690046757
270,330.625,1.08095046617345,2.71494027768944
270,331.25,1.11775102512061,2.87846228158209
270,331.875,1.14993561607763,3.04269631878187
270,332.5,1.17825445900305,3.20703510610086
270,333.125,1.20331681751135,3.37102064169378
270,333.75,1.22561909934337,3.5343073395482
270,334.375,1.24556764523799,3.6966348165674
270,335,1.26349687802523,3.85780771022494
270,335.625,1.27968363290307,4.01768061477418
270,336.25,1.29435843856713,4.17614675627173
270,336.875,1.30771440163601,4.33312941364542
270,337.5,1.31991422124847,4.48857537034217
270,338.125,1.33109574864861,4.64244987872328
